lexit	year	opm
overwhelm	1975	0.000
overwhelm	1976	0.297
overwhelm	1977	0.080
overwhelm	1978	0.000
overwhelm	1979	0.140
overwhelm	1980	0.314
overwhelm	1981	0.116
overwhelm	1982	0.266
overwhelm	1983	0.174
overwhelm	1984	0.157
overwhelm	1985	0.407
overwhelm	1986	0.279
overwhelm	1987	0.164
overwhelm	1988	0.277
overwhelm	1989	0.150
overwhelm	1990	0.382
overwhelm	1991	0.300
overwhelm	1992	0.284
overwhelm	1993	0.441
overwhelm	1994	0.375
overwhelm	1995	0.299
overwhelm	1996	0.314
overwhelm	1997	0.369
overwhelm	1998	0.316
overwhelm	1999	0.274
overwhelm	2000	0.350
overwhelm	2001	0.376
overwhelm	2002	0.438
overwhelm	2003	0.596
overwhelm	2004	0.485
overwhelm	2005	0.514
overwhelm	2006	0.614
overwhelm	2007	0.505
overwhelm	2008	0.648
overwhelm	2009	0.488
overwhelm	2010	0.547
overwhelm	2011	0.583
overwhelm	2012	0.416
overwhelm	2013	0.508
overwhelm	2014	0.417
overwhelm	2015	0.457
overwhelm	2016	0.518
overwhelm	2017	0.429
overwhelm	2018	0.529
overwhelm	2019	0.431
overwhelm	2020	0.774
overwhelm	2021	0.596
overwhelm	2022	0.517
overwhelm	2023	0.508
overwhelm	2024	0.451
regard	1975	94.189
regard	1976	91.915
regard	1977	88.609
regard	1978	87.732
regard	1979	84.546
regard	1980	85.568
regard	1981	80.183
regard	1982	73.601
regard	1983	80.372
regard	1984	71.151
regard	1985	71.749
regard	1986	70.351
regard	1987	71.862
regard	1988	66.225
regard	1989	71.697
regard	1990	66.426
regard	1991	67.208
regard	1992	63.028
regard	1993	60.570
regard	1994	60.165
regard	1995	62.179
regard	1996	62.811
regard	1997	60.349
regard	1998	59.853
regard	1999	58.253
regard	2000	57.575
regard	2001	60.283
regard	2002	58.899
regard	2003	57.710
regard	2004	57.718
regard	2005	56.316
regard	2006	54.799
regard	2007	54.529
regard	2008	53.979
regard	2009	54.051
regard	2010	55.838
regard	2011	55.089
regard	2012	54.009
regard	2013	53.118
regard	2014	52.948
regard	2015	52.718
regard	2016	52.645
regard	2017	49.812
regard	2018	47.110
regard	2019	46.855
regard	2020	45.522
