lexit	year	opm
overwhelm	1975	0.000
overwhelm	1976	0.297
overwhelm	1977	0.080
overwhelm	1978	0.000
overwhelm	1979	0.140
overwhelm	1980	0.314
overwhelm	1981	0.116
overwhelm	1982	0.266
overwhelm	1983	0.174
overwhelm	1984	0.157
overwhelm	1985	0.407
overwhelm	1986	0.279
overwhelm	1987	0.164
overwhelm	1988	0.277
overwhelm	1989	0.150
overwhelm	1990	0.382
overwhelm	1991	0.300
overwhelm	1992	0.284
overwhelm	1993	0.441
overwhelm	1994	0.375
overwhelm	1995	0.299
overwhelm	1996	0.314
overwhelm	1997	0.369
overwhelm	1998	0.316
overwhelm	1999	0.274
overwhelm	2000	0.350
overwhelm	2001	0.376
overwhelm	2002	0.438
overwhelm	2003	0.596
overwhelm	2004	0.485
overwhelm	2005	0.514
overwhelm	2006	0.614
overwhelm	2007	0.505
overwhelm	2008	0.648
overwhelm	2009	0.488
overwhelm	2010	0.547
overwhelm	2011	0.583
overwhelm	2012	0.416
overwhelm	2013	0.508
overwhelm	2014	0.417
overwhelm	2015	0.457
overwhelm	2016	0.518
overwhelm	2017	0.429
overwhelm	2018	0.529
overwhelm	2019	0.431
overwhelm	2020	0.774
overwhelm	2021	0.596
overwhelm	2022	0.517
overwhelm	2023	0.508
overwhelm	2024	0.451
fringe	1975	2.820
fringe	1976	2.819
fringe	1977	1.602
fringe	1978	3.861
fringe	1979	4.206
fringe	1980	2.515
fringe	1981	2.795
fringe	1982	2.874
fringe	1983	1.345
fringe	1984	0.744
fringe	1985	1.740
fringe	1986	0.733
fringe	1987	1.833
fringe	1988	2.035
fringe	1989	2.331
fringe	1990	1.551
fringe	1991	1.982
fringe	1992	2.471
fringe	1993	2.245
fringe	1994	2.210
fringe	1995	1.346
fringe	1996	1.867
fringe	1997	2.364
fringe	1998	2.813
fringe	1999	2.373
fringe	2000	2.698
fringe	2001	2.299
fringe	2002	2.423
fringe	2003	2.469
fringe	2004	2.202
fringe	2005	2.541
fringe	2006	2.465
fringe	2007	1.853
fringe	2008	1.996
fringe	2009	2.591
fringe	2010	2.043
fringe	2011	2.226
fringe	2012	2.414
fringe	2013	1.877
fringe	2014	1.919
fringe	2015	1.601
fringe	2016	2.092
