lexit	year	opm
examine	1975	34.646
examine	1976	39.466
examine	1977	41.661
examine	1978	46.415
examine	1979	48.022
examine	1980	53.692
examine	1981	55.202
examine	1982	65.193
examine	1983	66.398
examine	1984	73.382
examine	1985	75.933
examine	1986	84.387
examine	1987	85.416
examine	1988	91.907
examine	1989	97.208
examine	1990	101.823
examine	1991	112.290
examine	1992	118.249
examine	1993	129.427
examine	1994	133.017
examine	1995	141.800
examine	1996	143.575
examine	1997	147.704
examine	1998	152.690
examine	1999	156.502
examine	2000	157.233
examine	2001	162.725
examine	2002	161.837
examine	2003	168.145
examine	2004	168.637
examine	2005	173.126
examine	2006	176.383
examine	2007	181.150
examine	2008	183.482
examine	2009	186.334
examine	2010	186.931
examine	2011	187.830
examine	2012	188.516
examine	2013	190.013
examine	2014	190.319
examine	2015	193.211
examine	2016	193.178
examine	2017	191.770
examine	2018	194.514
examine	2019	186.492
examine	2020	182.649
examine	2021	186.492
examine	2022	188.071
examine	2023	198.113
examine	2024	195.431
explore	1975	9.749
explore	1976	9.273
explore	1977	9.854
explore	1978	10.889
explore	1979	12.619
explore	1980	11.128
explore	1981	12.927
explore	1982	13.464
explore	1983	14.234
explore	1984	15.342
explore	1985	15.327
explore	1986	17.038
explore	1987	18.727
explore	1988	18.468
explore	1989	19.422
explore	1990	22.174
explore	1991	24.339
explore	1992	25.806
explore	1993	29.414
explore	1994	29.678
explore	1995	32.548
explore	1996	34.912
explore	1997	41.071
explore	1998	43.037
explore	1999	47.938
explore	2000	50.724
explore	2001	57.459
explore	2002	60.162
explore	2003	69.131
explore	2004	74.180
explore	2005	80.442
explore	2006	87.058
explore	2007	91.983
explore	2008	97.401
explore	2009	103.242
explore	2010	107.475
explore	2011	114.558
explore	2012	121.032
explore	2013	127.625
explore	2014	137.782
explore	2015	145.529
explore	2016	149.919
explore	2017	161.660
explore	2018	173.812
explore	2019	185.461
explore	2020	201.611
explore	2021	221.081
explore	2022	246.750
explore	2023	250.302
explore	2024	278.355
investigate	1975	56.401
investigate	1976	55.564
investigate	1977	58.405
investigate	1978	58.771
investigate	1979	61.973
investigate	1980	73.937
investigate	1981	73.311
investigate	1982	78.072
investigate	1983	87.880
investigate	1984	85.827
investigate	1985	93.815
investigate	1986	100.273
investigate	1987	107.416
investigate	1988	116.572
investigate	1989	121.266
investigate	1990	125.429
investigate	1991	132.595
investigate	1992	145.848
investigate	1993	159.471
investigate	1994	172.502
investigate	1995	186.574
investigate	1996	196.719
investigate	1997	209.679
investigate	1998	219.655
investigate	1999	231.795
investigate	2000	241.107
investigate	2001	250.729
investigate	2002	259.672
investigate	2003	272.218
investigate	2004	281.939
investigate	2005	293.401
investigate	2006	300.393
investigate	2007	306.395
investigate	2008	314.368
investigate	2009	319.080
investigate	2010	323.797
investigate	2011	329.915
investigate	2012	340.367
investigate	2013	353.418
investigate	2014	359.930
investigate	2015	372.616
investigate	2016	372.241
investigate	2017	374.419
investigate	2018	377.626
investigate	2019	383.290
investigate	2020	376.565
investigate	2021	376.627
investigate	2022	380.840
