lexit	year	opm
underline	1975	3.062
underline	1976	2.300
underline	1977	2.644
underline	1978	3.553
underline	1979	3.856
underline	1980	3.647
underline	1981	2.795
underline	1982	2.288
underline	1983	2.951
underline	1984	2.583
underline	1985	2.184
underline	1986	3.247
underline	1987	2.554
underline	1988	2.528
underline	1989	3.909
underline	1990	2.960
underline	1991	3.319
underline	1992	2.821
underline	1993	3.714
underline	1994	3.651
underline	1995	3.963
underline	1996	3.594
underline	1997	3.738
underline	1998	3.303
underline	1999	3.347
underline	2000	3.915
underline	2001	3.670
underline	2002	3.905
underline	2003	3.673
underline	2004	4.223
underline	2005	3.811
underline	2006	3.860
underline	2007	4.051
underline	2008	4.009
underline	2009	4.139
underline	2010	4.232
underline	2011	4.174
underline	2012	4.361
underline	2013	4.070
underline	2014	4.109
underline	2015	4.432
underline	2016	4.116
underline	2017	4.356
underline	2018	4.491
underline	2019	4.324
underline	2020	4.630
underline	2021	4.622
underline	2022	4.194
underline	2023	4.448
underline	2024	4.136
emphasize	1975	20.707
emphasize	1976	20.549
emphasize	1977	20.270
emphasize	1978	19.076
emphasize	1979	20.751
emphasize	1980	19.553
emphasize	1981	19.391
emphasize	1982	18.201
emphasize	1983	18.618
emphasize	1984	19.060
emphasize	1985	16.512
emphasize	1986	17.073
emphasize	1987	16.959
emphasize	1988	16.556
emphasize	1989	18.544
emphasize	1990	18.259
emphasize	1991	18.254
emphasize	1992	17.474
emphasize	1993	17.435
emphasize	1994	18.470
emphasize	1995	16.339
emphasize	1996	16.976
emphasize	1997	16.009
emphasize	1998	16.516
emphasize	1999	15.351
emphasize	2000	15.058
emphasize	2001	15.756
emphasize	2002	14.551
emphasize	2003	14.948
emphasize	2004	14.396
emphasize	2005	14.814
emphasize	2006	15.432
emphasize	2007	16.898
emphasize	2008	15.915
emphasize	2009	16.714
emphasize	2010	16.588
emphasize	2011	16.768
emphasize	2012	16.869
emphasize	2013	16.345
emphasize	2014	16.970
emphasize	2015	16.224
emphasize	2016	16.839
emphasize	2017	16.404
emphasize	2018	16.542
emphasize	2019	16.048
emphasize	2020	17.441
emphasize	2021	17.586
emphasize	2022	17.925
emphasize	2023	23.005
emphasize	2024	29.279
stress	1975	120.053
stress	1976	126.039
stress	1977	119.214
stress	1978	133.761
stress	1979	138.106
stress	1980	138.066
stress	1981	135.908
stress	1982	145.660
stress	1983	147.899
stress	1984	146.568
stress	1985	152.718
stress	1986	156.519
stress	1987	165.331
stress	1988	174.504
stress	1989	180.984
stress	1990	179.396
stress	1991	183.416
stress	1992	177.078
stress	1993	189.892
stress	1994	188.308
stress	1995	199.025
stress	1996	207.903
stress	1997	225.001
stress	1998	237.499
stress	1999	249.823
stress	2000	264.721
stress	2001	272.105
stress	2002	290.410
stress	2003	298.087
stress	2004	315.044
stress	2005	323.165
stress	2006	337.502
stress	2007	351.305
stress	2008	368.268
stress	2009	370.349
stress	2010	393.131
stress	2011	398.379
stress	2012	413.967
stress	2013	418.620
stress	2014	428.469
stress	2015	433.942
stress	2016	434.849
stress	2017	444.492
stress	2018	441.762
stress	2019	455.726
stress	2020	459.873
